,TF family name,number of TFs,list of TFs
66,TCP,38,"Solyc01g008230.4.1,Solyc01g016414.1.1,Solyc01g079260.4.1,Solyc01g103780.4.1,Solyc02g065800.3.1,Solyc02g068200.1.1,Solyc02g077250.2.1,Solyc02g089020.2.1,Solyc02g089830.2.1,Solyc02g094290.1.1,Solyc03g006800.1.1,Solyc03g045030.2.1,Solyc03g115010.3.1,Solyc03g116320.3.1,Solyc03g119770.4.1,Solyc04g006980.1.1,Solyc04g009180.3.1,Solyc05g007420.2.1,Solyc05g009900.3.1,Solyc05g012840.1.1,Solyc05g032780.1.1,Solyc06g065190.1.1,Solyc06g069240.2.1,Solyc06g069460.3.1,Solyc06g070900.3.1,Solyc07g053410.4.1,Solyc07g062680.3.1,Solyc08g048390.3.1,Solyc08g048370.4.1,Solyc08g080150.1.1,Solyc09g008030.1.1,Solyc10g008780.1.1,Solyc10g018710.1.1,Solyc10g150112.1.1,Solyc10g082063.1.1,Solyc11g020670.1.1,Solyc11g045640.1.1,Solyc12g014140.3.1"
63,TCR,6,"Solyc01g079390.4.1,Solyc03g044380.3.1,Solyc07g020710.3.1,Solyc08g067150.4.1,Solyc09g082500.4.1,Solyc12g007180.2.1"
68,TEA,22,"Solyc01g096700.4.1,Solyc02g069770.3.1,Solyc03g083340.3.1,Solyc03g150159.1.1,Solyc03g119740.3.1,Solyc04g008870.3.1,Solyc04g051080.2.1,Solyc05g013430.1.1,Solyc05g049860.3.1,Solyc05g055240.3.1,Solyc06g061030.3.1,Solyc06g076770.3.1,Solyc07g009110.3.1,Solyc07g009580.2.1,Solyc07g017310.1.1,Solyc07g045000.4.1,Solyc09g014250.3.1,Solyc10g050420.3.1,Solyc10g078310.2.1,Solyc10g080960.1.1,Solyc11g006720.2.1,Solyc11g072330.2.1"
57,TF_AP-2,1,Solyc10g078340.2.1
10,Whirly,2,"Solyc05g007100.3.1,Solyc11g044750.3.1"
21,WRC,20,"Solyc01g091540.3.1,Solyc02g070700.3.1,Solyc02g078790.4.1,Solyc02g079300.3.1,Solyc02g082400.4.1,Solyc02g092070.3.1,Solyc03g082430.1.1,Solyc04g077510.4.1,Solyc05g014910.1.1,Solyc05g052290.3.1,Solyc07g041640.3.1,Solyc07g052710.1.1,Solyc08g005430.3.1,Solyc08g075950.3.1,Solyc08g079800.4.1,Solyc08g083230.3.1,Solyc09g009200.3.1,Solyc10g080530.2.1,Solyc10g083510.2.1,Solyc12g096070.2.1"
4,WRKY,86,"Solyc01g058540.3.1,Solyc01g079260.4.1,Solyc01g079360.4.1,Solyc01g089960.3.1,Solyc01g095100.4.1,Solyc01g095630.3.1,Solyc01g104550.3.1,Solyc02g021680.3.1,Solyc02g032950.3.1,Solyc02g067430.3.1,Solyc02g071130.4.1,Solyc02g072190.4.1,Solyc02g080890.3.1,Solyc02g088340.4.1,Solyc02g093050.3.1,Solyc02g094270.2.1,Solyc03g007380.2.1,Solyc03g007640.1.1,Solyc03g104810.3.1,Solyc03g082750.1.1,Solyc03g082810.1.1,Solyc03g095770.3.1,Solyc03g113120.4.1,Solyc03g116890.3.1,Solyc04g050205.1.1,Solyc04g050210.1.1,Solyc04g051540.3.1,Solyc04g051690.4.1,Solyc04g056360.4.1,Solyc04g072070.3.1,Solyc04g078550.3.1,Solyc05g007110.2.1,Solyc05g012500.3.1,Solyc05g012770.3.1,Solyc05g014040.1.1,Solyc05g015850.4.1,Solyc05g045710.3.1,Solyc05g045800.1.1,Solyc05g045880.1.1,Solyc05g045927.1.1,Solyc05g050040.3.1,Solyc05g050050.1.1,Solyc05g050057.1.1,Solyc05g050060.1.1,Solyc05g050065.1.1,Solyc05g050300.3.1,Solyc05g050330.3.1,Solyc05g050340.4.1,Solyc05g053380.4.1,Solyc05g055750.3.1,Solyc06g008610.3.1,Solyc06g048870.3.1,Solyc06g065250.1.1,Solyc06g066370.4.1,Solyc06g068460.3.1,Solyc06g070990.3.1,Solyc07g005650.4.1,Solyc07g047960.3.1,Solyc07g051840.4.1,Solyc07g055280.4.1,Solyc07g056280.3.1,Solyc07g065260.4.1,Solyc07g066220.3.1,Solyc08g006320.4.1,Solyc08g008280.3.1,Solyc08g067340.4.1,Solyc08g067360.3.1,Solyc08g081610.4.1,Solyc08g081630.2.1,Solyc08g082110.4.1,Solyc09g010960.3.1,Solyc09g014990.4.1,Solyc09g015770.3.1,Solyc09g066010.3.1,Solyc10g005680.2.1,Solyc10g007970.2.1,Solyc10g009550.3.1,Solyc10g011910.4.1,Solyc10g084380.1.1,Solyc12g006170.2.1,Solyc12g011200.3.1,Solyc12g014610.2.1,Solyc12g042590.2.1,Solyc12g056745.1.1,Solyc12g056750.3.1,Solyc12g096350.2.1"
40,zf-BED,40,"Solyc01g058593.1.1,Solyc02g032120.3.1,Solyc02g085580.4.1,Solyc02g088670.1.1,Solyc03g007510.4.1,Solyc03g044746.1.1,Solyc03g078070.3.1,Solyc03g116840.3.1,Solyc03g118350.4.1,Solyc03g119830.4.1,Solyc04g040115.1.1,Solyc04g070990.4.1,Solyc05g045957.1.1,Solyc06g030510.4.1,Solyc06g051600.2.1,Solyc06g060740.3.1,Solyc06g075780.3.1,Solyc07g049405.1.1,Solyc07g066160.1.1,Solyc08g007470.2.1,Solyc09g005660.4.1,Solyc09g007550.3.1,Solyc09g008520.4.1,Solyc09g047860.1.1,Solyc09g063157.2.1,Solyc10g007190.2.1,Solyc10g007470.4.1,Solyc10g007810.3.1,Solyc10g047760.1.1,Solyc10g083800.2.1,Solyc10g084180.2.1,Solyc11g150101.1.1,Solyc11g150102.1.1,Solyc11g150103.1.1,Solyc11g150144.1.1,Solyc11g069240.2.1,Solyc11g072210.1.1,Solyc12g009640.1.1,Solyc12g021265.1.1,Solyc12g070140.1.1"
18,zf-C2H2,116,"Solyc00g014800.1.1,Solyc01g005060.3.1,Solyc01g010410.3.1,Solyc01g058130.1.1,Solyc01g081630.4.1,Solyc01g087050.3.1,Solyc01g090840.3.1,Solyc01g099340.3.1,Solyc01g100330.3.1,Solyc01g107170.2.1,Solyc02g032120.3.1,Solyc02g060560.1.1,Solyc02g061660.1.1,Solyc02g061700.1.1,Solyc02g062940.3.1,Solyc02g067720.1.1,Solyc02g067730.2.1,Solyc02g081620.3.1,Solyc02g085580.4.1,Solyc02g086850.3.1,Solyc02g088670.1.1,Solyc02g094170.3.1,Solyc03g025440.3.1,Solyc03g059270.4.1,Solyc03g083310.4.1,Solyc03g093870.1.1,Solyc03g095270.1.1,Solyc03g098070.3.1,Solyc03g111590.4.1,Solyc03g115120.1.1,Solyc03g115140.4.1,Solyc03g115450.1.1,Solyc03g117070.1.1,Solyc03g118130.3.1,Solyc03g121660.3.1,Solyc04g005440.1.1,Solyc04g008500.4.1,Solyc04g009600.3.1,Solyc04g014540.3.1,Solyc04g015570.3.1,Solyc04g028560.4.1,Solyc04g056320.3.1,Solyc04g074250.3.1,Solyc04g074320.3.1,Solyc04g077980.1.1,Solyc04g080130.3.1,Solyc04g081370.2.1,Solyc05g009170.3.1,Solyc05g009380.4.1,Solyc05g009770.3.1,Solyc05g050150.1.1,Solyc05g050170.1.1,Solyc05g050180.1.1,Solyc05g050860.2.1,Solyc05g054030.3.1,Solyc05g054650.1.1,Solyc05g054660.2.1,Solyc05g055500.1.1,Solyc06g005180.1.1,Solyc06g036060.4.1,Solyc06g051600.2.1,Solyc06g053720.3.1,Solyc06g060480.1.1,Solyc06g060740.3.1,Solyc06g061160.1.1,Solyc06g062670.3.1,Solyc06g065440.1.1,Solyc06g068390.1.1,Solyc06g072360.3.1,Solyc06g074360.4.1,Solyc06g074800.1.1,Solyc06g075250.3.1,Solyc06g075775.1.1,Solyc06g075780.3.1,Solyc06g076820.1.1,Solyc06g083940.1.1,Solyc07g006880.1.1,Solyc07g007300.3.1,Solyc07g053570.4.1,Solyc07g063970.3.1,Solyc07g066160.1.1,Solyc08g059770.1.1,Solyc08g060870.1.1,Solyc08g063040.4.1,Solyc08g077000.1.1,Solyc08g078580.3.1,Solyc08g078590.1.1,Solyc09g007550.3.1,Solyc09g008440.1.1,Solyc09g009120.4.1,Solyc09g011120.1.1,Solyc09g065670.3.1,Solyc09g066250.1.1,Solyc09g074780.3.1,Solyc09g089590.1.1,Solyc09g089600.1.1,Solyc09g090260.1.1,Solyc10g077110.1.1,Solyc10g078970.1.1,Solyc10g078990.1.1,Solyc10g080200.2.1,Solyc10g084180.2.1,Solyc10g084910.3.1,Solyc10g085560.3.1,Solyc11g150100.1.1,Solyc11g013220.2.1,Solyc11g017140.3.1,Solyc11g062060.3.1,Solyc11g066400.1.1,Solyc11g066420.1.1,Solyc11g069240.2.1,Solyc11g072210.1.1,Solyc11g073060.3.1,Solyc11g073075.1.1,Solyc12g088390.1.1,Solyc12g098420.3.1"
45,zf-C2HC,1,Solyc10g077110.1.1
35,zf-C4,3,"Solyc00g500365.1.1,Solyc01g150103.1.1,Solyc09g074460.3.1"
32,zf-CCCH,73,"Solyc00g007330.1.1,Solyc00g198360.1.1,Solyc00g007450.1.1,Solyc01g008170.3.1,Solyc01g008600.4.1,Solyc01g067550.3.1,Solyc01g073940.3.1,Solyc01g087030.3.1,Solyc01g087170.3.1,Solyc01g100990.3.1,Solyc01g103090.4.1,Solyc01g110490.4.1,Solyc02g021760.3.1,Solyc02g070240.3.1,Solyc02g084200.3.1,Solyc02g084520.3.1,Solyc02g086430.4.1,Solyc03g006350.3.1,Solyc03g026350.3.1,Solyc03g063200.3.1,Solyc03g063680.3.1,Solyc03g111580.3.1,Solyc03g116410.3.1,Solyc03g116420.1.1,Solyc03g119430.4.1,Solyc04g008550.4.1,Solyc04g017710.3.1,Solyc04g057990.4.1,Solyc04g064770.1.1,Solyc04g064800.4.1,Solyc05g008670.3.1,Solyc05g009350.4.1,Solyc05g052570.3.1,Solyc06g008740.3.1,Solyc06g009070.3.1,Solyc06g054600.2.1,Solyc06g054620.4.1,Solyc06g063020.4.1,Solyc06g071860.3.1,Solyc06g072720.3.1,Solyc06g082010.4.1,Solyc07g047940.4.1,Solyc07g053750.1.1,Solyc07g065290.3.1,Solyc08g062540.1.1,Solyc08g068820.3.1,Solyc09g007230.3.1,Solyc09g150127.1.1,Solyc09g074640.3.1,Solyc09g089850.3.1,Solyc10g038000.3.1,Solyc10g047040.3.1,Solyc10g078750.2.1,Solyc10g079120.3.1,Solyc10g079190.3.1,Solyc10g080260.3.1,Solyc10g080480.2.1,Solyc10g083640.2.1,Solyc11g008900.2.1,Solyc11g065320.2.1,Solyc11g066830.2.1,Solyc11g069340.2.1,Solyc11g070070.3.1,Solyc12g005770.3.1,Solyc12g006620.2.1,Solyc12g008660.1.1,Solyc12g008870.1.1,Solyc12g009390.2.1,Solyc12g017410.2.1,Solyc12g035250.3.1,Solyc12g040230.1.1,Solyc12g040300.3.1,Solyc12g089260.3.1"
28,zf-CXXC,1,Solyc05g007895.1.1
42,zf-Dof,35,"Solyc01g096120.3.1,Solyc01g106030.4.1,Solyc01g106040.3.1,Solyc02g065290.1.1,Solyc02g067230.3.1,Solyc02g076850.2.1,Solyc02g077950.3.1,Solyc02g077960.3.1,Solyc02g078620.1.1,Solyc02g088070.3.1,Solyc02g090220.3.1,Solyc02g090310.1.1,Solyc03g082840.3.1,Solyc03g112930.3.1,Solyc03g115940.4.1,Solyc03g121400.1.1,Solyc04g070960.3.1,Solyc04g076530.3.1,Solyc04g079570.1.1,Solyc05g054510.2.1,Solyc06g005130.3.1,Solyc06g062520.1.1,Solyc06g150130.1.1,Solyc06g069760.3.1,Solyc06g071480.3.1,Solyc06g075370.3.1,Solyc06g076030.3.1,Solyc08g082910.2.1,Solyc09g010680.3.1,Solyc10g009360.4.1,Solyc10g047640.3.1,Solyc10g086440.2.1,Solyc11g010940.2.1,Solyc11g066050.1.1,Solyc11g072500.2.1"
37,zf-NF-X1,2,"Solyc03g118420.4.1,Solyc06g051570.4.1"
